"","predictions.test","NO2","BP","SOLR","TMP","WDIR","WSPD","TimeHours","lag.1.BP","lag.1.NO","lag.1.NO2","lag.1.NOX","lag.1.O3","lag.1.PM10","lag.1.PM2.5","lag.1.SOLR","lag.1.TMP","lag.1.WDIR","lag.1.WSPD","lag.2.BP","lag.2.NO","lag.2.NO2","lag.2.NOX","lag.2.O3","lag.2.PM10","lag.2.PM2.5","lag.2.SOLR","lag.2.TMP","lag.2.WDIR","lag.2.WSPD","lag.3.BP","lag.3.NO","lag.3.NO2","lag.3.NOX","lag.3.O3","lag.3.PM10","lag.3.PM2.5","lag.3.SOLR","lag.3.TMP","lag.3.WDIR","lag.3.WSPD"
"117",6.34312666666667,6.7,1008,649,23,158,1.6,"13:00",1009,1.9,4.3,7.2,50.4,19.5,10,720,23,168,1.3,1010,1.9,4.8,7.7,48.9,19.3,9,664,21,200,1.9,1011,3.7,5.7,11.5,48.4,29.5,11,377,20,202,1.5
"118",9.21875000000001,11.5,1008,566,23,168,1.3,"14:00",1008,4.7,6.7,13.9,46.4,14.7,8,649,23,158,1.6,1009,1.9,4.3,7.2,50.4,19.5,10,720,23,168,1.3,1010,1.9,4.8,7.7,48.9,19.3,9,664,21,200,1.9
"125",42.7904833333333,43,1004,646,16,248,2,"13:00",1004,27.4,42.6,84.6,4,27,23,551,15,241,2.3,1004,29.9,43,88.9,6,22.8,20,490,14,230,1.7,1004,14.7,38.7,61.2,6,23.4,22,419,14,242,1.5
"126",43.2674266666666,44.5,1004,490,16,238,1.5,"14:00",1004,40.5,43,105.2,3,27.8,24,646,16,248,2,1004,27.4,42.6,84.6,4,27,23,551,15,241,2.3,1004,29.9,43,88.9,6,22.8,20,490,14,230,1.7
"140",19.9969633333333,22.5,997,83,18,204,1.7,"12:00",998,2.5,22.5,26.3,30.9,29,17,91,18,171,1.1,998,1.2,17.7,19.6,33.4,18.7,18,107,17,209,0.8,998,7.5,21,32.5,28.4,19.8,17,91,17,191,0.6
"146",31.74172,28.7,1003,70,12,54,1.6,"10:00",1003,19.6,35.9,66,16.5,32.4,19,62,12,140,1.4,1003,26.2,40.2,80.3,9,29.8,19,60,12,224,1.6,1002,29.9,42.6,88.5,3.5,23.1,15,18,12,182,1.1
"148",26.02536,12.4,1003,35,13,39,1.8,"12:00",1003,9.4,24.4,38.7,30.4,30.5,16,63,13,59,1.8,1003,10,28.7,44,27.4,28.1,18,70,12,54,1.6,1003,19.6,35.9,66,16.5,32.4,19,62,12,140,1.4
"149",15.9869366666667,5.7,1002,25,13,49,1.6,"13:00",1003,2.8,12.4,16.7,45.9,28.6,19,35,13,39,1.8,1003,9.4,24.4,38.7,30.4,30.5,16,63,13,59,1.8,1003,10,28.7,44,27.4,28.1,18,70,12,54,1.6
"156",24.6117466666667,32.5,1010,696,14,110,1.8,"12:00",1010,9.7,27.3,42.1,39.9,34.1,16,594,13,43,1.5,1010,5.6,25.3,33.9,46.9,34.1,17,451,12,100,1.5,1009,12.8,38.3,57.9,34.4,38.9,21,269,11,53,1.1
"157",30.71512,37.3,1010,726,14,87,2,"13:00",1010,5.9,32.5,41.6,33.4,42.5,18,696,14,110,1.8,1010,9.7,27.3,42.1,39.9,34.1,16,594,13,43,1.5,1010,5.6,25.3,33.9,46.9,34.1,17,451,12,100,1.5
"160",38.91065,44,1011,89,13,124,1.1,"16:00",1011,11.2,46.4,63.6,12.5,39.9,23,501,14,335,1.6,1010,11.5,44,61.7,20.5,40.8,20,651,15,9,1.5,1010,9.7,37.3,52.1,27.9,44.9,21,726,14,87,2
"163",20.5784166666666,23,1016,267,11,193,0.7,"11:00",1017,3.7,23.9,29.6,37.9,24.4,16,244,10,223,0.6,1017,29.6,55.9,101.4,10,40.1,26,210,8,230,0.9,1018,120.7,71.7,256.79999,2,50.3,29,93,5,242,0.4
"170",21.4897433333333,22,1006,59,11,201,0.7,"10:00",1007,10,22,37.3,17,32.4,20,47,10,119,0.4,1007,12.5,24.9,44,10.5,28.8,19,31,8,108,0.3,1008,15.9,32,56.4,5.5,30,20,6,8,89,0.4
"173",21.4529666666666,15.8,1004,65,12,175,0.8,"13:00",1005,11.8,16.3,34.4,28.4,32.3,23,128,12,176,1.2,1006,9,16.7,30.6,26.4,31.1,22,74,11,185,0.4,1006,7.8,22,33.9,18,32.8,24,59,11,201,0.7
"174",21.44661,15.8,1004,79,12,170,0.9,"14:00",1004,8.7,15.8,29.2,30.9,33.4,22,65,12,175,0.8,1005,11.8,16.3,34.4,28.4,32.3,23,128,12,176,1.2,1006,9,16.7,30.6,26.4,31.1,22,74,11,185,0.4
"180",30.6642133333333,31.6,989,73,12,132,3.1,"12:00",990,8.4,36.3,49.2,18.5,20.7,18,86,11,132,2.8,990,29.6,44.9,90.4,4.5,29.9,24,66,10,129,1.9,990,23.1,44,79.4,4,24.6,21,57,10,129,2
"184",33.4367766666667,40.6,989,9,12,127,1.7,"16:00",988,5.9,35.9,44.9,24.9,18.3,16,47,12,104,2,988,5,31.6,39.2,30.4,16.2,14,223,13,141,2.8,988,6.9,31.6,42.1,23.4,17.8,15,120,12,140,3.4
"191",13.0644566666667,21,987,18,12,124,1.2,"15:00",987,2.2,11.5,14.8,52.4,25,18,41,12,138,1.4,988,3.7,7.7,13.4,56.4,20,15,51,13,129,1.2,988,2.5,7.7,11.5,57.4,20.6,16,48,13,133,1.1
"197",18.1248466666666,13.9,990,492,15,136,2.3,"13:00",990,6.5,17.2,27.3,44.9,22.3,17,508,15,152,1.5,990,4.7,17.2,24.4,43.4,23.6,14,350,15,140,1.6,990,5,16.3,23.9,42.4,23.5,15,378,15,184,1
"201",18.0333933333333,9.1,984,11,10,227,3.1,"09:00",983,4.4,16.7,23.4,48.4,22.1,12,1,12,190,2.7,983,1.6,14.8,17.2,49.4,23.6,9,-2,12,208,2.7,983,1.2,11,12.9,50.4,23.2,14,-2,12,204,3.5
"206",8.48423,10,990,274,11,229,3.9,"14:00",989,0.9,7.7,9.1,48.9,19.1,11,392,11,217,4,988,1.9,5.7,8.6,49.9,22,11,158,11,207,4.4,987,1.2,5.7,7.7,52.4,20.3,11,207,10,208,3.7
"208",12.17455,11.5,991,-1,9,200,3,"16:00",991,1.6,11,13.4,48.9,21.1,12,85,10,214,3.3,990,1.6,10,12.4,47.4,22.7,12,274,11,229,3.9,989,0.9,7.7,9.1,48.9,19.1,11,392,11,217,4
"211",32.27627,38.3,991,78,11,171,1.9,"11:00",992,9.7,39.2,54,24.9,23.1,10,50,11,205,1.9,993,15.9,49.2,73.6,14.5,21.4,13,37,10,200,1.7,993,18.4,57.4,85.6,8,20.4,13,7,10,238,1.3
"215",34.0996533333333,44.5,988,4,10,181,1.5,"15:00",989,7.2,40.6,51.6,17,31.8,14,19,10,174,1.5,989,7.5,30.1,41.6,30.9,29.8,13,29,10,199,1.5,990,7.5,31.1,42.6,37.4,27.4,13,74,11,198,1.8
"218",44.2671766666667,32,1003,150,8,232,1.6,"10:00",1003,22.5,52.6,87,11.5,34.7,15,119,7,241,1.9,1002,30.6,45.9,92.8,3,30.5,16,19,6,229,2,1001,14.7,44,66.5,2.5,26.7,15,-2,6,232,1.9
"219",29.9607933333333,31.1,1004,95,8,241,2,"11:00",1003,7.5,32,43.5,36.4,33.9,12,150,8,232,1.6,1003,22.5,52.6,87,11.5,34.7,15,119,7,241,1.9,1002,30.6,45.9,92.8,3,30.5,16,19,6,229,2
"221",27.92082,29.6,1004,101,9,214,1.4,"13:00",1004,7.2,29.2,40.2,41.4,35.9,19,132,9,215,2.3,1004,5.9,31.1,40.2,35.4,37.6,15,95,8,241,2,1003,7.5,32,43.5,36.4,33.9,12,150,8,232,1.6
"222",28.7985233333333,44,1004,46,9,171,0.2,"14:00",1004,5.3,29.6,37.8,35.9,41.2,23,101,9,214,1.4,1004,7.2,29.2,40.2,41.4,35.9,19,132,9,215,2.3,1004,5.9,31.1,40.2,35.4,37.6,15,95,8,241,2
"223",35.3912266666667,48.8,1004,9,9,172,0.6,"15:00",1004,15.9,44,68.4,16,39.5,23,46,9,171,0.2,1004,5.3,29.6,37.8,35.9,41.2,23,101,9,214,1.4,1004,7.2,29.2,40.2,41.4,35.9,19,132,9,215,2.3
"224",38.4210666666667,56.4,1004,-2,9,190,1,"16:00",1004,9,48.8,62.6,6,39.3,22,9,9,172,0.6,1004,15.9,44,68.4,16,39.5,23,46,9,171,0.2,1004,5.3,29.6,37.8,35.9,41.2,23,101,9,214,1.4
"227",39.55815,43.5,1010,90,11,212,1.6,"11:00",1010,23.4,54.5,90.4,12.5,24.5,12,99,11,200,1.3,1009,20,56.9,87.5,9,22.6,13,64,10,203,1.1,1009,18.1,61.2,88.9,6.5,21.1,13,18,9,205,0.2
"229",26.0296033333333,27.7,1010,65,12,215,1.6,"13:00",1010,4.7,26.3,33.5,35.9,17.8,11,107,12,211,1.1,1010,11.5,43.5,61.2,29.9,21.3,14,90,11,212,1.6,1010,23.4,54.5,90.4,12.5,24.5,12,99,11,200,1.3
