"","predict","X","Site","Time","BP","NO","NO2","NOX","O3","PM10","PM2.5","SOLR","TMP","WDIR","WSPD","TimeHours","TimeHoursNum","Date","Year","Month","Week","Day","lag.1.BP","lag.1.NO","lag.1.NO2","lag.1.NOX","lag.1.O3","lag.1.PM10","lag.1.PM2.5","lag.1.SOLR","lag.1.TMP","lag.1.WDIR","lag.1.WSPD","lag.2.BP","lag.2.NO","lag.2.NO2","lag.2.NOX","lag.2.O3","lag.2.PM10","lag.2.PM2.5","lag.2.SOLR","lag.2.TMP","lag.2.WDIR","lag.2.WSPD","lag.3.BP","lag.3.NO","lag.3.NO2","lag.3.NOX","lag.3.O3","lag.3.PM10","lag.3.PM2.5","lag.3.SOLR","lag.3.TMP","lag.3.WDIR","lag.3.WSPD"
"25",90.212064322218,89,"GR4","14/07/2009 09:00",1002,9,16.7,30.6,27.4,27.8,14,225,18,222,2,"09:00",9,"2009-07-14",2009,7,28,"Tuesday",1002,3.7,9.6,15.3,35.9,23.3,11,210,17,215,2.2,1002,2.8,8.1,12.4,35.9,26.9,13,148,16,206,1.9,1002,4.7,11.5,18.6,28.9,26.5,12,64,15,202,1.7
"26",91.3045085284536,92,"GR4","14/07/2009 12:00",1001,2.2,1.9,5.3,53.9,23.7,12,576,20,226,1.8,"12:00",12,"2009-07-14",2009,7,28,"Tuesday",1001,2.8,4.8,9.1,43.9,23,11,268,19,203,1.7,1001,7.2,9.1,20.1,30.9,19.8,12,309,19,204,1.2,1002,9,16.7,30.6,27.4,27.8,14,225,18,222,2
"27",76.429645536774,97,"GR4","15/07/2009 09:00",1000,1.9,3.8,6.7,45.9,30.6,16,95,17,209,1.4,"09:00",9,"2009-07-15",2009,7,28,"Wednesday",1000,1.9,3.3,6.2,42.9,34,14,159,18,174,1.5,1000,2.1,5.7,8.9,42.4,31.4,15,89,18,195,1.4,1001,1.9,6.7,9.6,37.4,32.1,14,68,16,201,1
"28",90.7608577506248,99,"GR4","15/07/2009 11:00",1000,1.9,1.9,4.8,54.9,30.2,13,394,19,200,2.3,"11:00",11,"2009-07-15",2009,7,28,"Wednesday",1000,1.9,2.9,5.7,53.4,31.6,15,430,17,216,1.2,1000,1.9,3.8,6.7,45.9,30.6,16,95,17,209,1.4,1000,1.9,3.3,6.2,42.9,34,14,159,18,174,1.5
"29",103.424737810378,104,"GR4","15/07/2009 16:00",1000,1.9,5.3,8.1,60.4,27,16,321,21,203,2.4,"16:00",16,"2009-07-15",2009,7,28,"Wednesday",1000,1.2,4.8,6.7,59.9,29.1,15,661,21,183,2.8,1000,1.6,3.3,5.7,60.9,28.2,14,867,21,205,2.7,1000,2.8,5.7,10,54.4,29.1,15,829,21,213,3.5
"30",120.619950552424,109,"GR4","16/07/2009 13:00",1005,3.4,2.9,8.1,64.4,26,14,355,20,211,3.4,"13:00",13,"2009-07-16",2009,7,28,"Thursday",1004,1.2,2.9,4.8,59.4,26,16,475,20,203,3.6,1003,2.2,3.8,7.2,55.4,29.9,16,498,19,212,3.9,1003,2.9,6.4,10.8,47.4,25.6,14,362,19,207,4.1
"31",102.456392612602,117,"GR4","17/07/2009 13:00",1008,4.7,6.7,13.9,46.4,14.7,8,649,23,158,1.6,"13:00",13,"2009-07-17",2009,7,28,"Friday",1009,1.9,4.3,7.2,50.4,19.5,10,720,23,168,1.3,1010,1.9,4.8,7.7,48.9,19.3,9,664,21,200,1.9,1011,3.7,5.7,11.5,48.4,29.5,11,377,20,202,1.5
"32",113.653210075989,118,"GR4","17/07/2009 14:00",1008,3.1,11.5,16.3,32.9,15.6,11,566,23,168,1.3,"14:00",14,"2009-07-17",2009,7,28,"Friday",1008,4.7,6.7,13.9,46.4,14.7,8,649,23,158,1.6,1009,1.9,4.3,7.2,50.4,19.5,10,720,23,168,1.3,1010,1.9,4.8,7.7,48.9,19.3,9,664,21,200,1.9
"33",138.945589252741,125,"GR4","05/10/2009 13:00",1004,40.5,43,105.2,3,27.8,24,646,16,248,2,"13:00",13,"2009-10-05",2009,10,40,"Monday",1004,27.4,42.6,84.6,4,27,23,551,15,241,2.3,1004,29.9,43,88.9,6,22.8,20,490,14,230,1.7,1004,14.7,38.7,61.2,6,23.4,22,419,14,242,1.5
"34",116.83081661807,126,"GR4","05/10/2009 14:00",1004,31.2,44.5,92.3,3,28.2,24,490,16,238,1.5,"14:00",14,"2009-10-05",2009,10,40,"Monday",1004,40.5,43,105.2,3,27.8,24,646,16,248,2,1004,27.4,42.6,84.6,4,27,23,551,15,241,2.3,1004,29.9,43,88.9,6,22.8,20,490,14,230,1.7
"35",159.943084561034,140,"GR4","07/10/2009 12:00",997,1.6,22.5,24.9,30.9,25.6,21,83,18,204,1.7,"12:00",12,"2009-10-07",2009,10,40,"Wednesday",998,2.5,22.5,26.3,30.9,29,17,91,18,171,1.1,998,1.2,17.7,19.6,33.4,18.7,18,107,17,209,0.8,998,7.5,21,32.5,28.4,19.8,17,91,17,191,0.6
"36",167.724667015826,146,"GR4","08/10/2009 10:00",1003,10,28.7,44,27.4,28.1,18,70,12,54,1.6,"10:00",10,"2009-10-08",2009,10,40,"Thursday",1003,19.6,35.9,66,16.5,32.4,19,62,12,140,1.4,1003,26.2,40.2,80.3,9,29.8,19,60,12,224,1.6,1002,29.9,42.6,88.5,3.5,23.1,15,18,12,182,1.1
"37",159.531549704953,148,"GR4","08/10/2009 12:00",1003,2.8,12.4,16.7,45.9,28.6,19,35,13,39,1.8,"12:00",12,"2009-10-08",2009,10,40,"Thursday",1003,9.4,24.4,38.7,30.4,30.5,16,63,13,59,1.8,1003,10,28.7,44,27.4,28.1,18,70,12,54,1.6,1003,19.6,35.9,66,16.5,32.4,19,62,12,140,1.4
"38",151.182537809342,149,"GR4","08/10/2009 13:00",1002,4.4,5.7,12.4,57.4,18.1,14,25,13,49,1.6,"13:00",13,"2009-10-08",2009,10,40,"Thursday",1003,2.8,12.4,16.7,45.9,28.6,19,35,13,39,1.8,1003,9.4,24.4,38.7,30.4,30.5,16,63,13,59,1.8,1003,10,28.7,44,27.4,28.1,18,70,12,54,1.6
"39",162.309227158861,156,"GR4","09/10/2009 12:00",1010,5.9,32.5,41.6,33.4,42.5,18,696,14,110,1.8,"12:00",12,"2009-10-09",2009,10,40,"Friday",1010,9.7,27.3,42.1,39.9,34.1,16,594,13,43,1.5,1010,5.6,25.3,33.9,46.9,34.1,17,451,12,100,1.5,1009,12.8,38.3,57.9,34.4,38.9,21,269,11,53,1.1
"40",168.870619488409,157,"GR4","09/10/2009 13:00",1010,9.7,37.3,52.1,27.9,44.9,21,726,14,87,2,"13:00",13,"2009-10-09",2009,10,40,"Friday",1010,5.9,32.5,41.6,33.4,42.5,18,696,14,110,1.8,1010,9.7,27.3,42.1,39.9,34.1,16,594,13,43,1.5,1010,5.6,25.3,33.9,46.9,34.1,17,451,12,100,1.5
"41",175.022129392208,160,"GR4","09/10/2009 16:00",1011,12.5,44,63.1,5.5,34.3,26,89,13,124,1.1,"16:00",16,"2009-10-09",2009,10,40,"Friday",1011,11.2,46.4,63.6,12.5,39.9,23,501,14,335,1.6,1010,11.5,44,61.7,20.5,40.8,20,651,15,9,1.5,1010,9.7,37.3,52.1,27.9,44.9,21,726,14,87,2
