,Time,CO,NO2,NOX,O3,PM10,SOLR,TMP,WDIR,WSPD
135,27/02/2007 10:00,0.5,128.89999,103.1,300.39999,10,45,12,232,5
136,27/02/2007 11:00,0.5,98.9,80.1,231.3,12,105,13,244,5.8
137,27/02/2007 12:00,0.5,75,69.1,183.2,14,62,13,241,5.5
138,27/02/2007 13:00,0.3,73,84.1,195.3,23.9,74,13,240,6.8
139,27/02/2007 14:00,0.3,59,80.1,170.2,29.9,52,13,240,7.3
140,27/02/2007 15:00,0.3,14,46.1,67.1,25.9,25,13,238,6.8
141,27/02/2007 16:00,0.5,20,53.1,84.1,18,11,12,233,6.3
142,27/02/2007 17:00,0.3,16,50.1,74.1,20,9,13,237,6
143,27/02/2007 18:00,0.3,9,40.1,53.1,33.9,0,13,248,7
144,27/02/2007 19:00,0.5,9,42.1,55.1,39.9,0,12,249,6.8
145,27/02/2007 20:00,0.5,9,52.1,65.1,35.9,0,12,245,6
146,27/02/2007 21:00,0.5,9,50.1,63.1,33.9,0,11,246,6
147,27/02/2007 22:00,0.3,16,55.1,80.1,29.9,0,10,244,5.3
148,27/02/2007 23:00,0.3,16,23,48.1,55.9,0,10,241,6.5
149,28/02/2007 01:00,0.2,1,6,8,71.8,0,11,239,7
150,28/02/2007 02:00,0.2,1,6,8,71.8,0,10,239,6.5
151,28/02/2007 03:00,0.2,1,10,11,67.9,0,10,235,6
152,28/02/2007 04:00,0.2,1,8,10,73.8,0,10,241,7.3
153,28/02/2007 05:00,0.2,1,19,21,63.9,0,10,245,6.8
154,28/02/2007 06:00,0.3,15,50.1,73.1,45.9,2,10,235,6.5
155,28/02/2007 07:00,0.2,23,46.1,80.1,51.9,21,7,260,8.5
156,28/02/2007 08:00,0.2,33,53.1,103.1,43.9,56,7,257,8
157,28/02/2007 09:00,0.3,51,63.1,141.2,45.9,275,10,251,7.5
158,28/02/2007 10:00,0.3,61,59.1,153.2,45.9,231,11,249,8.5
159,28/02/2007 11:00,0.2,55,55.1,139.2,49.9,206,9,255,8.5
160,28/02/2007 12:00,0.3,69,59.1,164.2,43.9,252,11,254,8.5
161,28/02/2007 13:00,0.3,40,50.1,111.1,43.9,117,9,268,8.3
