"","Site","Time","NO","NO2","NOX","PM10","PM2.5","SOLR","WDIR","WSPD"
"2159","HR1","13/01/2013 05:00",1.3,18,20.1,23.2,20.3,6,20,1.2
"2160","HR1","13/01/2013 06:00",2.5,22.7,26.5,24.2,18.3,18,59,1
"2161","HR1","13/01/2013 07:00",2.3,26.1,29.6,22.5,20.2,170,23,1.3
"2162","HR1","13/01/2013 08:00",4.2,26.5,33,21.6,22.8,251,31,1.3
"2163","HR1","13/01/2013 09:00",5.6,26.8,35.4,20.6,23.4,82,44,1.1
"2164","HR1","13/01/2013 10:00",4.8,18.9,26.3,22.3,18.2,84,45,1.1
"2165","HR1","13/01/2013 11:00",4.1,22.7,28.9,23.9,21.1,54,107,0.9
"2166","HR1","13/01/2013 12:00",4.8,24.3,31.7,22.7,19.2,41,25,1.1
"2167","HR1","13/01/2013 13:00",4.6,27.5,34.5,25.4,22.3,17,105,0.9
"2168","HR1","13/01/2013 14:00",4.2,25.7,32,18.9,18,6,127,0.8
"2169","HR1","13/01/2013 15:00",3.7,29,34.7,20.2,14.5,5,130,0.6
"2170","HR1","13/01/2013 16:00",2.6,33.2,37.1,21.4,18.9,6,96,0.6
"2171","HR1","13/01/2013 17:00",4.4,47.1,53.8,24.1,16,6,97,0.6
"2172","HR1","13/01/2013 18:00",7.1,56.3,67.1,26.8,22.1,6,97,0.6
"2173","HR1","13/01/2013 19:00",6.3,52.2,61.8,28.8,23.4,6,131,0.5
"2174","HR1","13/01/2013 20:00",8.6,56.8,70,29.6,25.5,6,154,0.6
"2175","HR1","13/01/2013 21:00",3.5,45.5,50.8,26,23.3,6,120,0.4
"2176","HR1","13/01/2013 22:00",4.8,49.5,56.8,29.6,23,6,126,0.4
"2177","HR1","13/01/2013 23:00",8.1,67.5,80,23.1,22.6,6,87,0.4
"2178","HR1","14/01/2013 00:00",8.4,65.2,78,22.2,20.4,6,107,0.3
"2179","HR1","14/01/2013 01:00",9,65.2,78.9,25.3,22.5,6,123,0.4
"2180","HR1","14/01/2013 02:00",9.5,61.2,75.8,24.6,21.5,6,110,0.4
"2181","HR1","14/01/2013 03:00",6.8,59.1,69.4,23.5,23,6,112,0.5
"2182","HR1","14/01/2013 04:00",5,55,62.6,26.1,23.9,6,112,0.5
"2183","HR1","14/01/2013 05:00",2.3,37.3,40.8,15.4,17.9,6,94,1.1
"2184","HR1","14/01/2013 06:00",3.6,47.9,53.4,17.2,13.2,12,97,1.1
"2185","HR1","14/01/2013 07:00",7.8,52.2,64.2,16.7,12.1,17,97,1.1
"2186","HR1","14/01/2013 08:00",9.6,50.9,65.6,20.7,17.4,24,93,1.3
"2187","HR1","14/01/2013 09:00",7.8,43.2,55.1,19.5,17.3,39,100,0.9
"2188","HR1","14/01/2013 10:00",11.3,47,64.4,20,16.6,38,93,1
"2189","HR1","14/01/2013 11:00",9.4,41.7,56.1,24.5,19.7,21,97,0.7
"2190","HR1","14/01/2013 12:00",15.4,48.7,72.3,22.7,18,11,102,0.6
"2191","HR1","14/01/2013 13:00",32.8,58.7,109,22.5,22.1,10,112,0.5
"2192","HR1","14/01/2013 14:00",42,66.8,131.2,18.8,19.5,6,131,0.8
"2193","HR1","14/01/2013 15:00",41.9,68.5,132.7,20.3,15.3,6,130,0.7
"2194","HR1","14/01/2013 16:00",37.3,63.1,120.3,17.9,19.1,6,146,1.4
"2195","HR1","14/01/2013 17:00",49.3,69.5,145.2,15.7,23.8,6,142,1.1
"2196","HR1","14/01/2013 18:00",13.2,44.1,64.3,17.9,12.4,6,142,1.1
"2197","HR1","14/01/2013 19:00",1.3,20.7,22.6,9.8,4.8,6,147,1.1
"2198","HR1","14/01/2013 20:00",1.3,20.3,22.3,6.4,6.8,6,145,1.2
"2199","HR1","14/01/2013 21:00",0.8,17.5,18.8,11.3,7.5,6,149,1.3
"2200","HR1","14/01/2013 22:00",0.7,17.7,18.8,14.6,9,6,147,1.3
"2201","HR1","14/01/2013 23:00",0.9,15.3,16.6,12,10,6,153,1.3
"2202","HR1","15/01/2013 00:00",0.5,14,14.7,7.5,10.5,6,150,1.4
"2203","HR1","15/01/2013 01:00",0.5,16.8,17.7,12.2,13.9,6,138,1.4
"2204","HR1","15/01/2013 02:00",0.9,17.2,18.5,13.4,10.5,6,137,1.2
"2205","HR1","15/01/2013 03:00",0.7,18.6,19.7,9,8.9,6,141,1.3
"2206","HR1","15/01/2013 04:00",0.7,19.9,21,10.3,10.7,6,141,1.3
"2207","HR1","15/01/2013 05:00",1.5,17.5,19.9,11.6,8.9,6,116,1
"2208","HR1","15/01/2013 06:00",3,22.9,27.6,11.3,9.5,27,113,1.1
"2209","HR1","15/01/2013 07:00",3.4,24.6,29.8,11.8,8.4,49,147,1
"2210","HR1","15/01/2013 08:00",4.7,28.8,36.1,12.9,10.8,101,154,1.2
"2211","HR1","15/01/2013 09:00",7,30.4,41.1,14.8,11.1,59,138,0.9
"2212","HR1","15/01/2013 10:00",7.1,26.4,37.3,15.9,14.2,113,155,1
"2213","HR1","15/01/2013 11:00",7.2,25.8,36.8,16.4,16.8,110,150,1
"2214","HR1","15/01/2013 12:00",9.6,29.6,44.3,18.9,15.2,90,152,1
"2215","HR1","15/01/2013 13:00",10.9,31.7,48.5,18.2,13.5,56,30,0.7
"2216","HR1","15/01/2013 14:00",8.8,35.4,48.8,17.1,17,5,125,0.4
"2217","HR1","15/01/2013 15:00",10.9,47.4,64.1,16.2,14,5,141,0.3
"2218","HR1","15/01/2013 16:00",20.5,61,92.4,17.7,18,5,46,0.4
"2219","HR1","15/01/2013 17:00",38.4,74.7,133.7,21.3,18.4,5,114,0.3
"2220","HR1","15/01/2013 18:00",78.9,85.5,206.5,25,22.2,5,114,0.3
"2221","HR1","15/01/2013 19:00",90.3,85.3,223.8,24.9,23.4,5,37,0.5
"2222","HR1","15/01/2013 20:00",71,77.9,186.8,36,23.8,6,124,0.4
"2223","HR1","15/01/2013 21:00",43.4,70.6,137.10001,22.6,21.4,6,145,0.4
"2224","HR1","15/01/2013 22:00",41.3,66.5,129.7,23.4,21.6,6,95,0.5
"2225","HR1","15/01/2013 23:00",55.6,64.9,150.2,25.6,23.5,6,21,1.1
"2226","HR1","16/01/2013 00:00",28.8,59.4,103.5,24.4,21.9,6,25,1.2
"2227","HR1","16/01/2013 01:00",9.1,55.7,69.7,23.9,19.6,6,22,0.9
"2228","HR1","16/01/2013 02:00",8.6,54,67.2,21.6,21.3,6,32,0.9
"2229","HR1","16/01/2013 03:00",1.5,34.9,37.2,21.1,14,6,45,0.9
"2230","HR1","16/01/2013 04:00",1.2,32.7,34.5,19,12.5,6,45,0.9
"2231","HR1","16/01/2013 05:00",3.2,37.9,42.8,21.1,17.5,6,40,0.8
"2232","HR1","16/01/2013 06:00",2.8,38.5,42.8,17.6,14.1,21,31,1.2
"2233","HR1","16/01/2013 07:00",6.5,44.5,54.5,16.8,15.4,59,73,0.6
"2234","HR1","16/01/2013 08:00",12.5,42.8,62,18.4,14.1,87,44,0.7
"2235","HR1","16/01/2013 09:00",14.4,41.3,63.4,14.2,17.2,137,41,0.8
"2236","HR1","16/01/2013 10:00",21.8,43.6,77,16.4,13.8,129,33,0.8
"2237","HR1","16/01/2013 11:00",25.2,46.4,85,25.8,18.7,60,32,0.8
"2238","HR1","16/01/2013 12:00",25.4,45.8,84.7,29.3,23.1,60,61,0.6
"2239","HR1","16/01/2013 13:00",20.8,44.3,76.2,21.7,21.2,60,61,0.6
